Name,street add,zip,Lat,Lon,Category\
Adrian's Pizza,605 Thompson Run Rd,15237,40.539465,-79.990764,Take Out\
Adrian's Pizza Express,7824 Perry Hwy,15237,40.551219,-80.037362,Take Out\
Allegheny Sandwich Shop,414 Grant St,15219,40.43811,-79.99686,NO Dollar Menu\
Allegheny Sandwich Shoppe #3,440 Ross St,15219,40.438514,-79.99533,NO Dollar Menu\
Amili's Pizzeria,1021 Brownsville Rd,15210,40.406082,-79.991863,Take Out\
Angelia's Pizza,202 Moon Clinton Rd,15108,40.513135,-80.223406,Take Out\
Angelia's Pizza / Chill Frozen Dessserts,410 Penn Lincoln Dr,15126,40.442466,-80.235992,Take Out\
Antney's Ice Cream,1316 Poplar St,15205,40.42747,-80.052435,Breakfast/Drink/Other\
Arby's,1617 Freeport Rd,15065,40.622125,-79.727516,Dollar Menu\
Arby's #8,3974 Wm Penn Hwy,15146,40.437988,-79.772845,Dollar Menu\
Arby's #42,1378 Banksville Rd,15216,40.414684,-80.030651,Dollar Menu\
Arby's #164,3417 Forbes Ave,15213,40.439175,-79.960709,Dollar Menu\
Arby's #836,1140 Washington Pike,15017,40.3679,-80.103172,Dollar Menu\
Arby's #1203,2251 Noblestown Rd,15205,40.428509,-80.0531,Dollar Menu\
Arby's #1414,6192 Steubenville Pike,15136,40.445808,-80.150631,Dollar Menu\
Arby's #1691,5030 Wm Flynn Hwy,15044,40.606809,-79.946719,Dollar Menu\
Arby's #1773,19075 Perry Hwy,16046,40.6225913,-80.0533722,Dollar Menu\
Arby's #1853,3700 Library Rd,15234,40.364992,-80.020333,Dollar Menu\
Arby's #1854,1911 S Braddock Ave,15218,40.422721,-79.885611,Dollar Menu\
Arby's #1858,6105 Saltsburg Rd,15147,40.484692,-79.819176,Dollar Menu\
Arby's #6941,2040 Lebanon Church Rd,15122,40.34781,-79.94861,Dollar Menu\
Arby's #7345,4260 Ohio River Blvd,15202,40.487673,-80.055679,Dollar Menu\
Arby's #7502,1804 Golden Mile Hwy / Rt 286,15239,40.44655,-79.713077,Dollar Menu\
Arby's #7548,450 Clairton Blvd,15236,40.338077,-79.978961,Dollar Menu\
Arby's #7550,4810 McKnight Rd,15237,40.525384,-80.004977,Dollar Menu\
Arby's #7633,5205 Library Rd,15102,40.333904,-80.023611,Dollar Menu\
Arby's #7678,2831 Jacks Run Rd,15131,40.338628,-79.806234,Dollar Menu\
Arby's #8042,9100 University Blvd,15108,40.502499,-80.222638,Dollar Menu\
Arby's #8436,808 Liberty Ave,15222,40.442516,-79.998747,Dollar Menu\
Auntie Anne's,3075 Clairton Blvd / Century III Mall,15123,40.340291,-79.938522,Breakfast/Drink/Other\
Auntie Anne's,309 Monroeville Mall,15146,40.426747,-79.79493,Breakfast/Drink/Other\
Auntie Anne's / Cinnabon, Pgh Intl Airport / Ne-1,15231,40.495309,-80.235291,Breakfast/Drink/Other\
Auntie Anne's #Pa-219,110 Pittsburgh Mills Cir,15084,40.637815,-79.796052,Breakfast/Drink/Other\
Auntie Anne's FC-9,100 Robinson Center Dr,15205,40.454124,-80.161164,Breakfast/Drink/Other\
Auntie Anne's Kiosk,100 Robinson Center Dr,15205,40.454124,-80.161164,Breakfast/Drink/Other\
Auntie Anne's Pa #163,1000 Ross Park Mall Dr,15232,40.544559,-80.008739,Breakfast/Drink/Other\
Auntie Anne's Pretzels,200 Monroeville Mall (Food Court),15146,40.432471,-79.751203,Breakfast/Drink/Other\
Auntie Anne's Pretzels #PA287, Monroville Mall,15146,40.430955,-79.794637,Breakfast/Drink/Other\
Auntie Anne's Pretzels PA 253-- Upper Level,301 South Hills Village Kiosk Upper Level,15241,40.32057,-80.087015,Breakfast/Drink/Other\
Bartram House Bakery,2000 Village Run Rd,15090,40.633331,-80.056371,Breakfast/Drink/Other\
Bartram House Bakery & Cafe,2612 Carson St,15203,40.427093,-79.968159,Breakfast/Drink/Other\
Baskin-Robbins #765,1110 Freeport Rd,15238,40.487618,-79.881926,Breakfast/Drink/Other\
Ben & Jerry's,936 Penn Ave,15222,40.443921,-79.996699,Breakfast/Drink/Other\
Big Kmart - Little Caesars #9438,720 Clairton Blvd,15236,40.326728,-79.945687,Take Out\
Big Shot Bob's,344 Union Ave,15202,40.503691,-80.061846,Take Out\
Big Shot Bob's House of Wings,1534 5th Ave,15108,40.513421,-80.154136,Take Out\
Big Shot Bob's Sandwich Shop,1006 Washington Ave,15106,40.398829,-80.08295,Take Out\
Bishop's Pizza,428 Lebanon Rd,15122,40.370434,-79.928168,Take Out\
Bishop's Pizza,114 Whitaker St,15120,40.401029,-79.887913,Take Out\
Bishop's Pizza,1416 Lincoln Hwy,15137,40.3744542,-79.7962111,Take Out\
Bishop's Pizza #9,1811 Golden Mile Hwy,15239,40.447217,-79.714463,Take Out\
Bishop's Pizza #10,614 Walnut Ave,15025,40.304795,-79.893359,Take Out\
Blaze Pizza,3939 William Penn Hwy,15146,40.43812,-79.77622,Take Out\
Blue Canary Coffee House,300 Mt Lebanon Blvd,15234,40.368736,-80.034172,Breakfast/Drink/Other\
Bob's Sub,215 Smithfield St,15222,40.438148,-80.000204,NO Dollar Menu\
Bob's Sub,2015 Pittsburgh Mills Blvd,15084,40.637815,-79.796052,NO Dollar Menu\
Bob's Sub,1713 Freeport Rd,15065,40.623749,-79.725248,NO Dollar Menu\
Boonda's Hometown Pizza,5622 Homeville Rd Unit B,15122,40.36821,-79.872442,Take Out\
Boston Market #146,3776 Wm Penn Hwy,15146,40.435723,-79.785201,NO Dollar Menu\
Boston Market #266,98 Clairton Blvd,15236,40.338077,-79.978961,NO Dollar Menu\
Boston Market #0270,5200 Baum Blvd,15224,40.455594,-79.941549,NO Dollar Menu\
Boston Market #410,978 Greentree Rd,15220,40.418072,-80.046016,NO Dollar Menu\
Boston Market #3206,300 Davis Blvd,15275,40.495013,-79.958815,NO Dollar Menu\
Bourbon St Cafe,200 Monroeville Mall,15146,40.429183,-79.795459,Breakfast/Drink/Other\
Brighton Hot Dog Shoppe,5990 University Blvd #11,15108,40.521267,-80.219777,NO Dollar Menu\
Brighton Hot Dog Shoppe,2401 Noblestown Rd,15205,40.426856,-80.057269,NO Dollar Menu\
Bruegger's Bagel Bakery,1134 Thorn Run Ext,15108,40.505249,-80.208526,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,422 Beaver St,15143,40.540608,-80.181178,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,1644 Cochran Rd,15220,40.392512,-80.061581,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,5213 Library Rd,15102,40.33414,-80.024069,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,4885 McKnight Rd,15237,40.529616,-80.010025,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,25 Market Pl,15222,40.441141,-80.003093,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,429 4th Ave,15219,40.438516,-79.998355,Breakfast/Drink/Other\
Bruegger's Bagel Bakery,411 7th Ave,15219,40.44289,-79.996284,Breakfast/Drink/Other\
